Team,Race 1,Race 2,Race 3,Race 4
MERCEDES-BENZ EQ,1,3,2,5
ROKiT VENTURI RACING,2,6,9,10
BMW i ANDRETTI MOTORSPORT,3,10,1,11
GEOX DRAGON,4,9,5,6
NIO 333,5,5,7,3
DS TECHEETAH,6,7,3,4
MAHINDRA RACING,7,4,6,2
AUDI SPORT ABT SCHAEFFLER,8,8,12,7
NISSAN E.DAMS,9,11,11,12
TAG HEUER PORSCHE,10,2,4,1
PANASONIC JAGUAR RACING,11,1,8,8
ENVISION VIRGIN RACING,12,12,10,9
