Team,Race1,Race 2,Race 3,Race 4
MERCEDES-BENZ EQ,25,15,18,10
ROKiT VENTURI RACING,18,8,2,1
BMW i ANDRETTI MOTORSPORT,15,1,25,0
GEOX DRAGON,12,2,10,8
NIO 333,10,10,6,15
DS TECHEETAH,8,6,15,12
MAHINDRA RACING,6,12,8,18
AUDI SPORT ABT SCHAEFFLER,4,4,0,6
NISSAN E.DAMS,2,0,0,0
TAG HEUER PORSCHE,1,18,12,25
PANASONIC JAGUAR RACING,0,25,4,4
ENVISION VIRGIN RACING,0,0,1,2
