Team,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
O'rangers,9,20,29,34,49,51,76,96,108,116,136,156
Savage Speeders,12,22,27,47,67,92,103,114,139,142,146,150
Mellow Yellow,6,18,29,54,56,61,67,92,112,117,118,119
Midnight Wisps,3,23,33,41,46,53,58,65,80,84,109,118
Team Galactic,0,1,9,15,40,41,53,62,73,81,90,115
Pinkies,15,24,36,46,54,66,81,86,86,96,107,114
Shining Swarm,4,11,36,37,46,56,64,72,78,89,101,112
Chocolatiers,10,35,42,54,58,64,73,75,76,96,98,110
Team Momo,11,11,11,20,30,50,70,85,92,94,104,106
Limers ,7,12,32,43,55,70,80,83,91,93,98,101
Oceanics,20,22,28,43,54,65,69,79,84,84,91,99
Thunderbolts,8,23,28,31,31,40,43,44,47,62,68,83
Jawbreakers,7,15,18,22,25,33,40,52,62,70,78,83
Team Primary,25,29,44,44,45,42,44,48,52,61,65,71
Jungle Jumpers,1,6,7,9,15,18,18,24,26,51,66,66
QuickSilvers,2,5,7,14,21,25,26,26,35,47,48,58
