Team,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16
O'rangers,6,31,51,76,80,90,105,120,124,,,,,,,
Minty Maniacs,25,40,65,75,83,91,93,99,114,,,,,,,
Crazy Cat's Eyes,11,31,41,53,78,90,99,103,112,,,,,,,
Midnight Wisps,15,27,32,43,48,68,93,103,109,,,,,,,
Raspberry Racers,20,27,34,49,50,75,85,90,95,,,,,,,
Hazers,9,17,23,32,38,45,45,70,90,,,,,,,
Team Momo,10,20,20,25,33,37,57,77,87,,,,,,,
Savage Speeders,2,3,18,25,37,52,64,73,85,,,,,,,
Team Galactic,1,12,14,34,43,54,65,76,83,,,,,,,
Oceanics,6,6,9,13,23,26,30,37,62,,,,,,,
Balls of Chaos,12,15,26,29,49,50,53,56,57,,,,,,,
Hornets,4,13,17,18,18,27,35,47,50,,,,,,,
Thunderbolts,3,5,13,15,26,31,36,45,50,,,,,,,
Bumblebees,8,14,23,31,33,39,40,42,47,,,,,,,
Mellow Yellow,0,5,6,6,21,23,29,29,40,,,,,,,
Green Ducks,7,11,23,29,32,32,39,40,40,,,,,,,
