Name,Hashtag
Summer Sky,SUM
Black Knight,BLA
Deep Ocean,DON
Phoenix,
Grasshopper,
Blue Moon,
Quicksilver,QUI
Superball,
Slimer,SLI
Lollipop,LOP
Crazy Cat's Eye,CCE
Nemo,NEM
Ghost Plasma,GHO
Big Pearl,BPL
Marbly McMarbleface,MMM
Dragon's Egg,DRA
Ducktape,
Rastafarian,
Comet,COM
Red Number 3,RN3
