Racer,Race1,Race2,Race3,Race4,Race5,Race6
CMO,17,12,12,12,07,07
SUP,08,20,07,09,12,09
GHO,07,14,14,14,00,20
CCE,20,00,11,00,05,00
DUC,02,17,05,05,00,06
POL,11,07,10,02,11,10
MMM,14,00,00,11,01,11
BLA,10,03,02,07,00,00
RN3,06,06,00,03,17,05
LOP,12,00,04,08,20,14
DRA,00,11,20,00,10,00
QUI,09,02,17,10,03,03
SUM,00,10,09,00,08,01
ELC,05,05,08,06,14,04
BBL,00,09,06,00,06,08
NEM,00,08,00,04,00,17
COM,03,04,01,00,02,12
SLI,04,02,03,17,09,02
BLF,00,00,00,01,04,00
COB,00,00,00,20,00,00
