Racer,Race1,Race2
CMO,17,29
SUP,8,28
GHO,7,21
CCE,20,20
DUC,2,19
POL,11,18
MMM,14,14
BLA,10,13
RN3,6,12
LOP,12,12
DRA,0,11
QUI,9,11
SUM,0,10
ELC,5,10
BBL,0,9
NEM,0,8
COM,3,7
SLI,4,4
BLF,0,0
COB,0,0
